FIPS,,Age-Adjusted Death Rate,,,
12133,,67.5,,,
18139,,67.5,,,
21101,,67.5,,,
28047,,67.5,,,
20209,,67.4,,,
21191,,67.4,,,
21049,,67.4,,,
22117,,67.4,,,
5069,,67.3,,,
18019,,67.3,,,
21037,,67.3,,,
28023,,67.3,,,
21167,,67.2,,,
39053,,67.2,,,
47019,,67.2,,,
51169,,67.2,,,
51750,,67.2,,,
22091,,67.1,,,
26039,,67.1,,,
28135,,67.1,,,
40037,,67.1,,,
47043,,67.1,,,
1053,,67,,,
5025,,67,,,
22047,,67,,,
5043,,66.9,,,
5053,,66.9,,,
26165,,66.9,,,
40099,,66.9,,,
12123,,66.8,,,
13209,,66.8,,,
26085,,66.8,,,
37173,,66.8,,,
22009,,66.7,,,
29015,,66.7,,,
39071,,66.7,,,
1095,,66.6,,,
19123,,66.6,,,
21107,,66.6,,,
29185,,66.6,,,
30065,,66.6,,,
51670,,66.6,,,
12005,,66.5,,,
13005,,66.5,,,
48281,,66.5,,,
17101,,66.4,,,
17191,,66.4,,,
18109,,66.4,,,
21105,,66.4,,,
22063,,66.4,,,
40021,,66.4,,,
40081,,66.4,,,
22045,,66.3,,,
39073,,66.3,,,
54067,,66.3,,,
28011,,66.2,,,
29510,,66.2,,,
39079,,66.2,,,
51580,,66.2,,,
1051,,66.1,,,
22025,,66.1,,,
22127,,66.1,,,
28119,,66.1,,,
31163,,66.1,,,
40075,,66.1,,,
1021,,66,,,
17003,,66,,,
18093,,66,,,
26135,,66,,,
5129,,65.9,,,
13079,,65.9,,,
36075,,65.9,,,
37103,,65.9,,,
40121,,65.9,,,
1059,,65.8,,,
12007,,65.8,,,
13103,,65.8,,,
18017,,65.8,,,
28129,,65.8,,,
18111,,65.7,,,
29173,,65.7,,,
47185,,65.7,,,
29141,,65.6,,,
29115,,65.6,,,
40089,,65.6,,,
48405,,65.6,,,
21227,,65.5,,,
37169,,65.5,,,
51007,,65.5,,,
36073,,65.4,,,
40015,,65.4,,,
47045,,65.4,,,
51167,,65.4,,,
1047,,65.3,,,
1129,,65.3,,,
21019,,65.3,,,
51770,,65.3,,,
12045,,65.2,,,
47137,,65.2,,,
54057,,65.2,,,
54087,,65.2,,,
54055,,65.2,,,
13017,,65.1,,,
18065,,65.1,,,
20107,,65.1,,,
21097,,65.1,,,
21219,,65.1,,,
29021,,65.1,,,
47147,,65.1,,,
54003,,65.1,,,
1115,,65,,,
13259,,65,,,
18167,,65,,,
18177,,65,,,
21117,,65,,,
29091,,65,,,
40055,,65,,,
5147,,64.9,,,
5101,,64.9,,,
51043,,64.9,,,
13201,,64.8,,,
17183,,64.8,,,
39115,,64.8,,,
47091,,64.8,,,
40071,,64.7,,,
46121,,64.7,,,
47001,,64.7,,,
13149,,64.6,,,
26035,,64.6,,,
39129,,64.6,,,
39031,,64.6,,,
40107,,64.6,,,
51033,,64.6,,,
54041,,64.6,,,
13119,,64.5,,,
13313,,64.5,,,
13131,,64.5,,,
18131,,64.5,,,
21001,,64.5,,,
37153,,64.5,,,
39163,,64.5,,,
51185,,64.5,,,
54039,,64.5,,,
18181,,64.4,,,
20125,,64.4,,,
21081,,64.4,,,
24015,,64.4,,,
47177,,64.4,,,
5005,,64.3,,,
17079,,64.3,,,
18097,,64.3,,,
28123,,64.3,,,
40067,,64.3,,,
47069,,64.3,,,
51595,,64.3,,,
54011,,64.3,,,
12017,,64.2,,,
21179,,64.2,,,
26133,,64.2,,,
41011,,64.2,,,
54099,,64.2,,,
55003,,64.2,,,
18029,,64.1,,,
51071,,64.1,,,
1113,,64,,,
1071,,64,,,
18121,,64,,,
18153,,64,,,
18053,,64,,,
40019,,64,,,
40053,,64,,,
54095,,64,,,
17125,,63.9,,,
39141,,63.9,,,
40097,,63.9,,,
26019,,63.8,,,
28091,,63.7,,,
28017,,63.7,,,
54035,,63.7,,,
1045,,63.6,,,
28035,,63.6,,,
32021,,63.6,,,
37047,,63.6,,,
37165,,63.6,,,
47071,,63.6,,,
5127,,63.5,,,
5109,,63.5,,,
40033,,63.5,,,
51117,,63.5,,,
54027,,63.5,,,
13013,,63.4,,,
29033,,63.4,,,
37145,,63.4,,,
1097,,63.3,,,
13173,,63.3,,,
22013,,63.3,,,
29171,,63.3,,,
29007,,63.3,,,
37121,,63.3,,,
39127,,63.3,,,
39077,,63.3,,,
13015,,63.2,,,
20021,,63.2,,,
1017,,63.1,,,
13257,,63.1,,,
28113,,63.1,,,
36115,,63.1,,,
37071,,63.1,,,
39009,,63.1,,,
48217,,63.1,,,
48231,,63.1,,,
55013,,63.1,,,
19071,,63,,,
28151,,63,,,
45061,,63,,,
13231,,62.9,,,
18061,,62.9,,,
18119,,62.9,,,
22007,,62.9,,,
29065,,62.9,,,
37031,,62.9,,,
5041,,62.8,,,
12023,,62.8,,,
17115,,62.8,,,
26051,,62.8,,,
29175,,62.8,,,
47031,,62.8,,,
20159,,62.7,,,
26031,,62.7,,,
47035,,62.7,,,
48289,,62.7,,,
51077,,62.7,,,
5027,,62.6,,,
5009,,62.6,,,
17035,,62.6,,,
53027,,62.6,,,
5051,,62.5,,,
18079,,62.5,,,
29186,,62.5,,,
30035,,62.5,,,
21047,,62.4,,,
22105,,62.4,,,
28125,,62.4,,,
54029,,62.4,,,
17071,,62.3,,,
17083,,62.3,,,
22059,,62.3,,,
51125,,62.3,,,
13177,,62.2,,,
18045,,62.2,,,
18023,,62.2,,,
23003,,62.2,,,
28051,,62.2,,,
39101,,62.2,,,
5131,,62.1,,,
13157,,62.1,,,
13043,,62.1,,,
17129,,62.1,,,
45067,,62.1,,,
47053,,62.1,,,
13071,,62,,,
22073,,62,,,
24019,,62,,,
26153,,62,,,
29085,,62,,,
29013,,62,,,
5077,,61.9,,,
20183,,61.9,,,
26075,,61.9,,,
29217,,61.9,,,
40095,,61.9,,,
48361,,61.9,,,
51191,,61.9,,,
5033,,61.8,,,
13085,,61.8,,,
20139,,61.8,,,
24510,,61.8,,,
28027,,61.8,,,
45023,,61.8,,,
47155,,61.8,,,
48083,,61.8,,,
51057,,61.8,,,
1131,,61.7,,,
12113,,61.6,,,
29153,,61.6,,,
45059,,61.6,,,
48093,,61.6,,,
17169,,61.5,,,
19155,,61.5,,,
21039,,61.5,,,
